,fitness,solution,computed_on,generation
11,58,"[1 0 0 1 1 1 0 1 0 0 0 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0 1 1 1 1 0 0 0 1
 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0
 1 1 1 0 0 0 1 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1 1 1 1 0 1 0 0 1 0 1 0 0 1 0 1
 1 1 0 0 0 0 0 0 1 0]","21.06.2023, 16:08:38",0
12,59,"[1 0 0 1 1 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 1 1
 1 1 0 1 1 1 0 0 1 1 0 1 1 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 1
 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 1 0 1 1 1 0 0 1 1 0 0 1 0 0 0 1 0 1 1 1 0
 1 1 0 0 0 1 0 0 1 0]","21.06.2023, 16:08:38",0
13,67,"[1 0 0 0 0 1 1 0 0 0 1 0 1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0
 1 0 0 0 1 0 1 0 0 0 1 0 1 1 1 0 1 1 1 1 0 0 1 1 1 0 0 0 0 1 0 1 1 1 1 1 0
 1 1 1 1 0 1 1 1 1 1 0 0 1 0 0 0 0 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 0 0
 0 1 0 0 1 1 0 1 1 0]","21.06.2023, 16:08:38",0
14,62,"[1 1 1 1 0 1 0 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 0 1 1
 0 1 1 1 1 1 0 1 0 0 1 0 0 1 1 1 0 1 0 0 1 0 0 1 1 1 1 0 1 0 1 0 1 0 1 1 1
 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 1 0
 0 0 0 0 0 0 1 1 0 0]","21.06.2023, 16:08:38",0
15,55,"[0 0 1 1 0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 1 1 1 0 0 1
 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 1 1 0 1 0
 1 1 0 1 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 1 1 1 1 0 0 1 1 0 1 1
 0 0 0 1 0 0 1 0 1 0]","21.06.2023, 16:08:38",0
16,52,"[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 1 1 0 1 0 1 0 0 0 1 1 0
 1 1 1 1 1 0 0 1 0 0 0 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 1 0 0 0 0 1
 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0
 1 0 1 0 0 1 0 0 0 0]","21.06.2023, 16:08:38",0
17,66,"[1 0 1 1 0 0 1 1 1 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 0 1 0 1 1 1 1 0
 1 0 1 0 0 1 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 0 1 0 1
 0 1 0 1 0 1 0 0 0 0 1 1 0 1 1 0 1 1 1 0 1 0 1 1 1 0 1 1 1 0 0 1 0 0 0 0 1
 1 0 1 0 0 1 1 0 1 0]","21.06.2023, 16:08:38",0
18,65,"[1 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 0 1 1 1
 1 1 0 0 1 0 0 0 1 0 0 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0 0 1 0 1 0 1 1 0 0 1 0
 1 1 1 0 1 0 1 1 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 1 0 1
 1 0 1 0 0 1 1 1 1 1]","21.06.2023, 16:08:38",0
19,59,"[0 1 0 0 0 1 1 1 0 0 0 1 1 0 0 1 1 1 1 0 1 1 0 1 1 1 0 0 1 1 1 0 1 0 1 1 0
 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 1 1 0 0 1 1
 1 1 1 0 0 1 1 0 0 0 0 0 0 1 1 1 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 0 1 1 0 0 1 1 1]","21.06.2023, 16:08:38",0
20,56,"[0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 1 0
 1 0 0 1 0 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 1 0 1 0 1 1 1 1 0
 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 1 1 0 1 1 1 1 0 0 0 1 1 1 0
 0 0 0 1 0 1 0 1 1 0]","21.06.2023, 16:08:38",0
21,67,"[0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 0 0 1 0 1 1 0 1 1 1 0 1 1 0 0
 1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 1 0 1 1 0 1 1 1 1 1 1 0 0 0 1 0
 1 0 0 0 0 1 1 1 0 1 1 0 0 0 1 0 1 1 0 1 1 0 0 1 0 1 0 0 1 0 1 0 1 1 1 1 1
 1 0 1 1 0 0 0 0 0 1]","21.06.2023, 16:08:38",0
22,57,"[1 1 1 1 0 1 0 1 1 1 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1
 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0
 1 0 1 0 0 1 1 1 0 1 0 1 1 1 1 0 1 0 0 1 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 1
 0 0 1 0 0 1 1 0 0 1]","21.06.2023, 16:08:38",0
23,59,"[1 1 1 1 0 0 1 0 1 1 1 0 0 0 1 1 0 1 1 1 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 1
 0 1 1 1 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0 1 1 0 1 0 0 0 1 0 1 1 0 0 1 1
 0 1 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 0
 0 1 0 1 1 0 1 1 1 0]","21.06.2023, 16:08:38",0
